CURRENTLEVEL;ISINKYEDIBLE;ISBLINKYEDIBLE;ISSUEEDIBLE;ISPINKYEDIBLE;BLINKYDIST;INKYDIST;PINKYDIST;SUEDIST;PACMANPOSITION;CURRENTSCORE;DIRECTIONCHOSEN;
0;false;false;false;false;HIGH;NONE;HIGH;NONE;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;HIGH;NONE;HIGH;NONE;VERY_HIGH;VERY_LOW;DOWN;
0;false;false;false;false;HIGH;NONE;HIGH;NONE;VERY_HIGH;VERY_LOW;DOWN;
0;false;false;false;false;HIGH;NONE;HIGH;NONE;VERY_HIGH;VERY_LOW;UP;
0;false;false;false;false;HIGH;HIGH;HIGH;NONE;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;VERY_HIGH;HIGH;HIGH;NONE;VERY_HIGH;VERY_LOW;DOWN;
0;false;false;false;false;VERY_HIGH;HIGH;MEDIUM;NONE;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;VERY_HIGH;HIGH;MEDIUM;NONE;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;VERY_HIGH;MEDIUM;MEDIUM;NONE;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;VERY_HIGH;MEDIUM;MEDIUM;HIGH;VERY_HIGH;VERY_LOW;UP;
0;false;false;false;false;VERY_HIGH;MEDIUM;MEDIUM;HIGH;VERY_HIGH;VERY_LOW;DOWN;
0;false;false;false;false;VERY_HIGH;MEDIUM;MEDIUM;HIGH;VERY_HIGH;VERY_LOW;DOWN;
0;false;false;false;false;VERY_HIGH;HIGH;MEDIUM;HIGH;VERY_HIGH;VERY_LOW;DOWN;
0;false;false;false;false;VERY_HIGH;HIGH;MEDIUM;HIGH;VERY_HIGH;VERY_LOW;DOWN;
0;false;false;false;false;VERY_HIGH;HIGH;MEDIUM;HIGH;VERY_HIGH;VERY_LOW;LEFT;
0;true;true;true;true;VERY_HIGH;HIGH;MEDIUM;HIGH;VERY_HIGH;VERY_LOW;DOWN;
0;true;true;true;true;VERY_HIGH;HIGH;MEDIUM;VERY_HIGH;VERY_HIGH;VERY_LOW;LEFT;
0;true;true;true;true;VERY_HIGH;HIGH;MEDIUM;VERY_HIGH;VERY_HIGH;VERY_LOW;DOWN;
0;true;true;true;true;VERY_HIGH;HIGH;MEDIUM;HIGH;VERY_HIGH;VERY_LOW;DOWN;
0;true;true;true;true;VERY_HIGH;HIGH;MEDIUM;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;HIGH;MEDIUM;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;HIGH;HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;UP;
0;true;true;true;true;VERY_HIGH;HIGH;HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;UP;
0;true;true;true;true;VERY_HIGH;HIGH;HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;HIGH;HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;UP;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;LEFT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;UP;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;UP;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;DOWN;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;UP;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;LEFT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;UP;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;LEFT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;DOWN;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;UP;
